Skill,Count
machine learning,505
azure,410
sql,385
python,383
communication,304
aws,274
bachelor,258
master,168
r,107
tensorflow,101
pytorch,98
gcp,93
power bi,91
tableau,84
excel,72
snowflake,69
scikit-learn,51
phd,43
github,39
pandas,30
numpy,22
matplotlib,9
xgboost,6
linear regression,3
